Title,Author,Ratings,Release Date
1. Atomic Habits, James Clear,5, 18-10-18
2. The Psychology of Money, Morgan Housel,5, 08-09-20
3. Don't Believe Everything You Think, Joseph Nguyen,5, 13-04-22
4. How to Talk to Anyone, Leil Lowndes,5, 01-09-15
5. Ikigai," Héctor García, Francesc Miralles",5, 18-09-17
6. Rich Dad Poor Dad, Robert T. Kiyosaki,5, 15-06-12
7. The 48 Laws of Power, Robert Greene,5, 25-04-07
8. The Power of Your Subconscious Mind, Joseph Murphy,5, 06-11-19
9. Sapiens, Yuval Noah Harari,5, 30-04-15
10. Same as Ever, Morgan Housel,4, 07-11-23
11. The Intelligent Investor Rev Ed., Benjamin Graham,5, 07-07-15
12. The Subtle Art of Not Giving a F*ck, Mark Manson,5, 13-09-16
13. Breaking the Mould," Raghuram Rajan, Rohit Lamba",5, 13-12-23
14. Poor Charlie’s Almanack, Charles T. Munger, , 05-12-23
15. Energize Your Mind, Gaur Gopal Das,5, 10-01-23
16. Can't Hurt Me, David Goggins,5, 28-11-18
17. The Courage to Be Disliked ," Fumitake Koga, Ichiro Kishimi",5, 22-02-18
18. Clear Thinking, Shane Parrish,5, 05-10-23
19. Hyperfocus, Chris Bailey,5, 06-09-18
"20. Thinking, Fast and Slow", Daniel Kahneman,5, 23-12-11
21. Think and Grow Rich, Napoleon Hill,5, 01-09-17
22. The Art of Seduction, Robert Greene,5, 19-07-02
23. Life's Amazing Secrets, Gaur Gopal Das,5, 10-12-19
24. The Almanack of Naval Ravikant," Eric Jorgenson, Tim Ferriss",5, 01-03-21
25. The 5 AM Club, Robin Sharma,5, 06-12-18
26. The Alchemist, Paulo Coelho,5, 26-12-04
27. Chanakya Neeti, Acharya Chanakya,5, 28-07-18
28. Zero to One," Peter Thiel, Blake Masters",5, 04-06-15
29. The Hidden Hindu, Akshat Gupta,4, 29-03-23
30. Never Split the Difference," Chris Voss, Tahl Raz",5, 20-06-19
31. Eat That Frog!, Brian Tracy,5, 17-11-20
32. Karma: A Yogi’s Guide to Crafting Your Own Destiny," Sadhguru, Leslie Howard",5, 10-08-21
33. Autobiography of a Yogi, Paramahansa Yogananda,5, 07-10-04
34. Mythos, Stephen Fry,5, 02-11-17
35. Hidden Potential, Adam Grant,5, 26-10-23
36. 12 Rules for Life, Jordan B. Peterson,5, 16-01-18
37. Dopamine Detox, Thibaut Meurisse,5, 26-08-21
38. Quiet, Susan Cain,5, 03-01-13
39. Master Your Emotions: A Practical Guide to Overcome Negativity and Better Manage Your Feelings, Thibaut Meurisse,5, 01-10-19
40. Let's Talk Mutual Funds, Monika Halan,5, 26-07-23
"41. Harry Potter and the Philosopher's Stone, Book 1", J.K. Rowling,5, 20-11-15
42. The Secret of Secrets, Osho,5, 04-03-16
43. The Power of Now, Eckhart Tolle,5, 31-12-00
44. Homo Deus, Yuval Noah Harari,5, 08-09-16
45. Essentialism, Greg McKeown,5, 26-11-15
46. The Covenant of Water, Abraham Verghese,5, 02-05-23
47. The Bhagavad Gita, Eknath Easwaran,5, 28-12-14
48. The Simple Path to Wealth, JL Collins,5, 27-06-17
49. The Greatest Secret, Rhonda Byrne,5, 24-11-20
50. Start with Why, Simon Sinek,5, 21-10-21
51. Let's Talk Money, Monika Halan,5, 05-02-20
52. Cosmos, Carl Sagan,5, 30-05-17
53. Be Useful, Arnold Schwarzenegger,5, 10-10-23
54. Doglapan, Ashneer Grover,5, 28-01-23
55. $100M Offers, Alex Hormozi,5, 02-08-21
56. The Personal MBA: Master the Art of Business, Josh Kaufman,5, 04-09-12
57. A Brief History of Time, Stephen Hawking,5, 22-09-16
58. The Warren Buffett Way, Robert Hagstrom,5, 30-09-13
"59. Men Are from Mars, Women Are from Venus", John Gray,5, 27-12-98
60. The Diary of a CEO, Steven Bartlett,5, 31-08-23
61. Lessons in Chemistry, Bonnie Garmus,5, 05-04-22
62. Mahabharat, Sadhguru,5, 13-05-23
63. 12 Months to $1 Million, Ryan Daniel Moran,5, 11-08-20
64. The Hidden Hindu 2, Akshat Gupta,4, 27-06-23
"65. Harry Potter and the Goblet of Fire, Book 4", J.K. Rowling,5, 20-11-15
66. Trading in the Zone, Mark Douglas,5, 24-04-18
67. Tools of Titans, Tim Ferriss,5, 02-06-20
68. Becoming Supernatural, Joe Dispenza,5, 02-10-20
"69. Think Faster, Talk Smarter", Matt Abrahams,5, 28-09-23
70. Godaan (Hindi Edition), Munshi Premchand,5, 26-02-20
71. The Monk Who Sold His Ferrari, Robin Sharma,5, 05-07-07
72. War of Lanka, Amish Tripathi,5, 03-10-22
73. Hitchhiker's Guide to the Galaxy, Douglas Adams,5, 01-01-12
74. Scion of Ikshvaku, Amish,5, 21-06-17
75. Algorithms to Live By," Brian Christian, Tom Griffiths",5, 19-04-16
"76. Harry Potter and the Chamber of Secrets, Book 2", J.K. Rowling,5, 20-11-15
77. $100M Leads, Alex Hormozi,5, 20-08-23
"78. Harry Potter and the Prisoner of Azkaban, Book 3", J.K. Rowling,5, 20-11-15
79. Why Has Nobody Told Me This Before?, Julie Smith,5, 06-01-22
80. Outlive," Peter Attia, Bill Gifford",5, 28-03-23
81. The Mountain Is You, Brianna Wiest,5, 01-04-22
82. Make Your Bed, Admiral William H. McRaven,5, 15-06-17
83. The Secret of the Nagas, Amish Tripathi,5, 19-12-22
84. 21 Lessons for the 21st Century, Yuval Noah Harari,5, 30-08-18
85. Think Again, Adam Grant,5, 04-02-21
86. Sita: Warrior of Mithila, Amish,5, 29-08-17
87. Four Thousand Weeks, Oliver Burkeman,5, 26-08-21
88. A Game of Thrones, George R.R. Martin,5, 03-11-15
89. The Immortals of Meluha, Amish Tripathi,5, 14-11-22
90. The Monk Who Sold His Ferrari (Hindi), Robin Sharma,5, 01-03-18
91. The Power of Habit, Charles Duhigg,5, 05-04-12
92. Think Like a Monk, Jay Shetty,5, 08-09-20
"93. Harry Potter and the Half-Blood Prince, Book 6", J.K. Rowling,5, 20-11-15
94. The Art of Reading Minds, Henrik Fexeus,5, 15-10-19
95. Anxious People, Fredrik Backman,5, 20-08-20
96. Designing Data-Intensive Applications, Martin Kleppmann,5, 05-02-21
97. Project Hail Mary, Andy Weir,5, 04-05-21
98. Sapiens, Yuval Noah Harari,5, 13-03-19
"99. Harry Potter and the Order of the Phoenix, Book 5", J.K. Rowling,5, 20-11-15
100. Choose Your Enemies Wisely," Patrick Bet-David, Greg Dinkin", , 05-12-23
